time,weight
2017-01-05 00:00:00,63
2017-01-05 01:00:00,63
2017-01-05 02:00:00,63
2017-01-05 03:00:00,63
2017-01-05 04:00:00,63
2017-01-05 05:00:00,63
2017-01-05 06:00:00,63
2017-01-05 07:00:00,63
2017-01-05 08:00:00,63
2017-01-05 09:00:00,63
2017-01-05 10:00:00,63
2017-01-05 11:00:00,63
2017-01-05 12:00:00,63
2017-01-05 13:00:00,63
2017-01-05 14:00:00,63
2017-01-05 15:00:00,63
2017-01-05 16:00:00,63
2017-01-05 17:00:00,63
2017-01-05 18:00:00,63
2017-01-05 19:00:00,63
2017-01-05 20:00:00,63
2017-01-05 21:00:00,63
2017-01-05 22:00:00,63
2017-01-05 23:00:00,63
2017-01-22 00:00:00,27
2017-01-22 01:00:00,27
2017-01-22 02:00:00,27
2017-01-22 03:00:00,27
2017-01-22 04:00:00,27
2017-01-22 05:00:00,27
2017-01-22 06:00:00,27
2017-01-22 07:00:00,27
2017-01-22 08:00:00,27
2017-01-22 09:00:00,27
2017-01-22 10:00:00,27
2017-01-22 11:00:00,27
2017-01-22 12:00:00,27
2017-01-22 13:00:00,27
2017-01-22 14:00:00,27
2017-01-22 15:00:00,27
2017-01-22 16:00:00,27
2017-01-22 17:00:00,27
2017-01-22 18:00:00,27
2017-01-22 19:00:00,27
2017-01-22 20:00:00,27
2017-01-22 21:00:00,27
2017-01-22 22:00:00,27
2017-01-22 23:00:00,27
2017-04-02 00:00:00,26
2017-04-02 01:00:00,26
2017-04-02 02:00:00,26
2017-04-02 03:00:00,26
2017-04-02 04:00:00,26
2017-04-02 05:00:00,26
2017-04-02 06:00:00,26
2017-04-02 07:00:00,26
2017-04-02 08:00:00,26
2017-04-02 09:00:00,26
2017-04-02 10:00:00,26
2017-04-02 11:00:00,26
2017-04-02 12:00:00,26
2017-04-02 13:00:00,26
2017-04-02 14:00:00,26
2017-04-02 15:00:00,26
2017-04-02 16:00:00,26
2017-04-02 17:00:00,26
2017-04-02 18:00:00,26
2017-04-02 19:00:00,26
2017-04-02 20:00:00,26
2017-04-02 21:00:00,26
2017-04-02 22:00:00,26
2017-04-02 23:00:00,26
2017-05-23 00:00:00,66
2017-05-23 01:00:00,66
2017-05-23 02:00:00,66
2017-05-23 03:00:00,66
2017-05-23 04:00:00,66
2017-05-23 05:00:00,66
2017-05-23 06:00:00,66
2017-05-23 07:00:00,66
2017-05-23 08:00:00,66
2017-05-23 09:00:00,66
2017-05-23 10:00:00,66
2017-05-23 11:00:00,66
2017-05-23 12:00:00,66
2017-05-23 13:00:00,66
2017-05-23 14:00:00,66
2017-05-23 15:00:00,66
2017-05-23 16:00:00,66
2017-05-23 17:00:00,66
2017-05-23 18:00:00,66
2017-05-23 19:00:00,66
2017-05-23 20:00:00,66
2017-05-23 21:00:00,66
2017-05-23 22:00:00,66
2017-05-23 23:00:00,66
2017-07-27 00:00:00,66
2017-07-27 01:00:00,66
2017-07-27 02:00:00,66
2017-07-27 03:00:00,66
2017-07-27 04:00:00,66
2017-07-27 05:00:00,66
2017-07-27 06:00:00,66
2017-07-27 07:00:00,66
2017-07-27 08:00:00,66
2017-07-27 09:00:00,66
2017-07-27 10:00:00,66
2017-07-27 11:00:00,66
2017-07-27 12:00:00,66
2017-07-27 13:00:00,66
2017-07-27 14:00:00,66
2017-07-27 15:00:00,66
2017-07-27 16:00:00,66
2017-07-27 17:00:00,66
2017-07-27 18:00:00,66
2017-07-27 19:00:00,66
2017-07-27 20:00:00,66
2017-07-27 21:00:00,66
2017-07-27 22:00:00,66
2017-07-27 23:00:00,66
2017-07-30 00:00:00,26
2017-07-30 01:00:00,26
2017-07-30 02:00:00,26
2017-07-30 03:00:00,26
2017-07-30 04:00:00,26
2017-07-30 05:00:00,26
2017-07-30 06:00:00,26
2017-07-30 07:00:00,26
2017-07-30 08:00:00,26
2017-07-30 09:00:00,26
2017-07-30 10:00:00,26
2017-07-30 11:00:00,26
2017-07-30 12:00:00,26
2017-07-30 13:00:00,26
2017-07-30 14:00:00,26
2017-07-30 15:00:00,26
2017-07-30 16:00:00,26
2017-07-30 17:00:00,26
2017-07-30 18:00:00,26
2017-07-30 19:00:00,26
2017-07-30 20:00:00,26
2017-07-30 21:00:00,26
2017-07-30 22:00:00,26
2017-07-30 23:00:00,26
2017-10-19 00:00:00,65
2017-10-19 01:00:00,65
2017-10-19 02:00:00,65
2017-10-19 03:00:00,65
2017-10-19 04:00:00,65
2017-10-19 05:00:00,65
2017-10-19 06:00:00,65
2017-10-19 07:00:00,65
2017-10-19 08:00:00,65
2017-10-19 09:00:00,65
2017-10-19 10:00:00,65
2017-10-19 11:00:00,65
2017-10-19 12:00:00,65
2017-10-19 13:00:00,65
2017-10-19 14:00:00,65
2017-10-19 15:00:00,65
2017-10-19 16:00:00,65
2017-10-19 17:00:00,65
2017-10-19 18:00:00,65
2017-10-19 19:00:00,65
2017-10-19 20:00:00,65
2017-10-19 21:00:00,65
2017-10-19 22:00:00,65
2017-10-19 23:00:00,65
2017-11-11 00:00:00,26
2017-11-11 01:00:00,26
2017-11-11 02:00:00,26
2017-11-11 03:00:00,26
2017-11-11 04:00:00,26
2017-11-11 05:00:00,26
2017-11-11 06:00:00,26
2017-11-11 07:00:00,26
2017-11-11 08:00:00,26
2017-11-11 09:00:00,26
2017-11-11 10:00:00,26
2017-11-11 11:00:00,26
2017-11-11 12:00:00,26
2017-11-11 13:00:00,26
2017-11-11 14:00:00,26
2017-11-11 15:00:00,26
2017-11-11 16:00:00,26
2017-11-11 17:00:00,26
2017-11-11 18:00:00,26
2017-11-11 19:00:00,26
2017-11-11 20:00:00,26
2017-11-11 21:00:00,26
2017-11-11 22:00:00,26
2017-11-11 23:00:00,26
