node_id,wind_capacity_mw,flag_can_install,land_use
k100_0001,0.0,0,residential
k100_0002,0.0,0,residential
k100_0003,0.0,0,residential
k100_0004,0.0,0,residential
k100_0005,0.0,0,residential
k100_0006,0.0,0,residential
k100_0007,0.0,0,residential
k100_0008,0.0,0,residential
k100_0009,0.0,0,residential
k100_0010,0.0,0,residential
k100_0011,0.0,0,residential
k100_0012,0.0,0,residential
k100_0013,0.0,0,residential
k100_0014,0.0,0,residential
k100_0015,0.0,0,residential
k100_0016,0.0,0,residential
k100_0017,0.0,0,residential
k100_0018,0.0,0,residential
k100_0019,0.0,0,residential
k100_0020,0.0,0,residential
k100_0021,0.0,0,residential
k100_0022,0.0,0,residential
k100_0023,0.0,0,residential
k100_0024,0.0,0,residential
k100_0025,0.0,0,residential
k100_0026,0.0,0,residential
k100_0027,0.0,0,residential
k100_0028,0.0,0,residential
k100_0029,0.0,0,residential
k100_0030,0.0,0,residential
k100_0031,0.0,0,residential
k100_0032,0.0,0,residential
k100_0033,0.0,0,residential
k100_0034,0.0,0,residential
k100_0035,0.0,0,residential
k100_0036,0.0,0,residential
k100_0037,0.0,0,residential
k100_0038,0.0,0,residential
k100_0039,0.0,0,residential
k100_0040,0.0,0,residential
k100_0041,0.0,0,residential
k100_0042,0.0,0,residential
k100_0043,0.0,0,residential
k100_0044,0.0,0,residential
k100_0045,0.0,0,residential
k100_0046,0.0,0,residential
k100_0047,20.0,1,industrial
k100_0048,0.0,0,residential
k100_0049,20.0,1,industrial
k100_0050,20.0,1,industrial
k100_0051,20.0,1,industrial
k100_0052,20.0,1,industrial
k100_0053,20.0,1,industrial
k100_0054,20.0,1,industrial
k100_0055,20.0,1,industrial
k100_0056,20.0,1,industrial
k100_0057,20.0,1,industrial
k100_0058,20.0,1,industrial
k100_0059,20.0,1,industrial
k100_0060,20.0,1,industrial
k100_0061,20.0,1,industrial
k100_0062,20.0,1,industrial
k100_0063,20.0,1,industrial
k100_0064,20.0,1,industrial
k100_0065,20.0,1,industrial
k100_0066,20.0,1,industrial
k100_0067,20.0,1,industrial
k100_0068,20.0,1,industrial
k100_0069,20.0,1,industrial
k100_0070,20.0,1,industrial
k100_0071,20.0,1,industrial
k100_0072,20.0,1,industrial
k100_0073,20.0,1,industrial
k100_0074,20.0,1,industrial
k100_0075,20.0,1,industrial
k100_0076,20.0,1,industrial
k100_0077,20.0,1,industrial
k100_0078,20.0,1,industrial
k100_0079,20.0,1,industrial
k100_0080,20.0,1,industrial
k100_0081,20.0,1,industrial
k100_0082,20.0,1,industrial
k100_0083,20.0,1,industrial
k100_0084,20.0,1,industrial
k100_0085,20.0,1,industrial
k100_0086,20.0,1,industrial
k100_0087,20.0,1,industrial
k100_0088,20.0,1,industrial
k100_0089,20.0,1,industrial
k100_0090,20.0,1,industrial
k100_0091,20.0,1,industrial
k100_0092,5.0,1,commercial
k100_0093,5.0,1,commercial
k100_0094,5.0,1,commercial
k100_0095,5.0,1,commercial
k100_0096,5.0,1,commercial
k100_0097,5.0,1,commercial
k100_0098,5.0,1,commercial
k100_0099,5.0,1,commercial
k100_0100,5.0,1,commercial
