run_id,fixed_baseline_cap_ratio,stress_window_type,stress_window_start,stress_window_end,stress_period_cap_ton,actual_emissions_ton,cap_violation_ton,load_shedding_mwh,total_system_cost_billion_cny,pv_mw,wind_mw,bess_power_mw,bess_energy_mwh,ldes_power_mw,ldes_energy_mwh,grid_expansion_mw,grid_import_mwh,peak_grid_import_mw,pv_curtailment_mwh,wind_curtailment_mwh,is_valid_result,invalid_reason,solver_status
r36b_capfix0p25_peak_load_week,0.25,peak_load_week,2017-01-13 09:00:00,2017-01-20 08:00:00,42829.03441505546,42829.03441505542,0.0,48999.359410024,4907.829943654772,5113.193594535139,874.3989343981096,5605.676429566808,22422.705448991856,0.0,0.0,0.0,71644.42023261197,2000.2601961880475,879.8867778263598,147.0467869269542,False,load_shedding,optimal
r36b_capfix0p25_renewable_scarcity_week,0.25,renewable_scarcity_week,2017-01-30 17:00:00,2017-02-06 16:00:00,34358.88699347803,34358.88699347799,0.0,106662.06128027623,10671.433574490564,5178.106565471924,895.1824500518522,2464.05374527102,9047.694539662163,0.0,0.0,0.0,57475.55535877883,1864.7181336326453,212.64429996252187,713.131214039552,False,load_shedding,optimal
r36b_capfix0p25_high_pv_week,0.25,high_pv_week,2017-02-18 13:00:00,2017-02-25 12:00:00,31567.413978864468,31567.41397886448,1.4551915228366852e-11,0.0,5.850046986794457,4377.736531152272,0.0,4632.008773063594,18528.035092254377,0.0,0.0,0.0,52805.97855280108,2235.547922608376,7949.498990820406,0.0,True,,optimal
r36b_capfix0p14_peak_load_week,0.14,peak_load_week,2017-01-13 09:00:00,2017-01-20 08:00:00,23984.259272431053,23984.259272431063,1.0913936421275139e-11,80522.90431237323,8060.169416072902,5113.193594535139,874.3989343981096,5605.676429566808,22422.705448991856,0.0,0.0,0.0,40120.87533026274,1442.161656341126,879.8867778263598,147.0467869269542,False,load_shedding,optimal
r36b_capfix0p14_renewable_scarcity_week,0.14,renewable_scarcity_week,2017-01-30 17:00:00,2017-02-06 16:00:00,19240.976716347697,19240.97671634771,1.4551915228366852e-11,131951.30563813887,13200.345962480817,5178.106565471924,895.1824500518522,2464.05374527102,9047.694539662163,0.0,0.0,0.0,32186.31100091621,1864.7181336326453,212.64429996252187,713.131214039552,False,load_shedding,optimal
r36b_capfix0p14_high_pv_week,0.14,high_pv_week,2017-02-18 13:00:00,2017-02-25 12:00:00,17677.7518281641,17677.75182816411,1.0913936421275139e-11,0.0,7.371934807108485,4842.392966111178,284.2478317384315,5886.419863155836,23545.679452623343,0.0,0.0,0.0,29571.347989568592,1868.086432961884,7821.655944147284,61.401122702681896,True,,optimal
