archetype,fixed_baseline_cap_ratio,actual_emissions_mt,total_system_cost_billion_cny,cost_delta_vs_xinwu_billion_cny,cost_delta_vs_xinwu_pct,bess_energy_mwh,bess_energy_delta_vs_xinwu_mwh,pv_mw,wind_mw,grid_import_mwh,renewable_adequacy_ratio,grid_interface_adequacy_ratio,is_valid_result,invalid_reason
compact_high_density,0.14,0.6758118298085801,179056.16673405067,179045.4438514165,16697.510357959032,35370.288532137085,4101.213192642586,3864.9170173130874,646.5662694807882,1130498.2097835063,0.6777938695105755,0.7057944876337652,False,load_shedding
compact_high_density,0.25,1.206806838943891,90231.85345916192,90225.25768131563,13679.24447789484,35370.288532137085,23681.311627390496,3864.9170173130874,646.5662694807882,2018746.8031848287,0.6777938695105755,0.7057944876337652,False,load_shedding
compact_high_density,0.4,1.9308909423102276,9.993960901438614,4.623033718071961,0.8607515164959116,26477.73696536061,21462.813507456758,3847.9559599170193,564.7675916747808,3229994.88509573,0.6777938695105755,0.7057944876337652,True,
industrial_load_district,0.14,0.6758118298085788,62913.09731717112,62902.37443453694,5866.181378692417,38164.41032186517,6895.334982370674,5137.441218547647,958.0691555275024,1130498.2097835045,0.9731333225799877,0.8271029151958185,False,load_shedding
industrial_load_district,0.25,1.2068068389438884,10.326220873603784,3.730443027311442,0.5655804537759592,26169.46263943546,14480.48573468887,5137.781852549999,957.7502783882916,2018746.8031848248,0.9731333225799877,0.8271029151958185,True,
industrial_load_district,0.4,1.9308909423102307,7.118657847859058,1.7477306644924058,0.32540576418630157,10126.62997989192,5111.706521988069,4818.576410406495,629.0841244747378,3229994.885095736,0.9731333225799877,0.8271029151958185,True,
pv_rich_low_density,0.14,0.6758118298085772,5.456188963336771,-5.266693670844241,-0.4911639761919765,10005.93438264971,-21263.14095684479,4504.192097794844,413.0073284109887,1130498.2097835017,1.7747260692657671,1.3785048586596973,True,
pv_rich_low_density,0.25,1.2068068389438904,4.524350809612995,-2.0714270366793466,-0.31405348769345676,5499.389999925542,-6189.586904821049,3416.2490411031963,428.2696687249433,2018746.8031848285,1.7747260692657671,1.3785048586596973,True,
pv_rich_low_density,0.4,1.9073398345801227,4.164878105797013,-1.2060490775696397,-0.2245513737934636,2353.8266865219325,-2661.0967713819196,2221.796363665253,403.3337184404344,3190598.585781404,1.7747260692657671,1.3785048586596973,True,
renewable_scarce_dense_city,0.14,0.6758118298085808,260425.25975983808,260414.5368772039,24285.8702982618,38002.20457552871,6733.129236034212,3101.020429298408,555.0,1130498.2097835075,0.5284143989302936,0.6786485458016973,False,load_shedding
renewable_scarce_dense_city,0.25,1.2068068389438922,171600.82358133566,171594.22780348937,26015.768238760033,38002.20457552871,26313.227670782122,3101.020429298408,555.0,2018746.8031848308,0.5284143989302936,0.6786485458016973,False,load_shedding
renewable_scarce_dense_city,0.4,1.930890942310223,50476.98132912397,50471.610401940605,9397.187613760114,38002.20457552871,32987.28111762486,3101.020429298408,555.0,3229994.885095722,0.5284143989302936,0.6786485458016973,False,load_shedding
strong_grid_district,0.14,0.6758118298085818,10.722882634181003,-8.881784197001252e-15,-8.283019128353653e-16,31269.075339494462,-3.637978807091713e-11,5126.223180569199,856.7612389004349,1130498.2097835091,1.1448978643489696,1.654205830391637,True,
strong_grid_district,0.25,1.206806838943894,6.595777846292344,1.7763568394002505e-15,2.6931726337611366e-16,11688.976904746598,7.275957614183426e-12,4772.042311790853,512.2936635254919,2018746.8031848343,1.1448978643489696,1.654205830391637,True,
strong_grid_district,0.4,1.930890942310225,5.370927181829312,-1.5373409212315892e-09,-2.862338044709702e-10,5014.925390720918,0.0019328170656081056,3467.423464392603,522.2803372280123,3229994.8850957267,1.1448978643489696,1.654205830391637,True,
weak_grid_district,0.14,0.6758118298085818,10.725803043400553,0.0029204092195413978,0.00027235299678018455,31269.075339494462,-3.637978807091713e-11,5126.223180569199,856.7612389004349,1130498.209783509,1.1448978643489696,0.6616823321566548,True,
weak_grid_district,0.25,1.2068068389438924,6.5958093474946,3.1501202258255034e-05,4.775964714451788e-06,11688.88935700917,-0.08754773742111865,4772.016215323526,512.2954789054188,2018746.8031848315,1.1448978643489696,0.6616823321566548,True,
weak_grid_district,0.4,1.930890942310224,5.371132616648783,0.00020543328213040724,3.824912815176834e-05,5013.221660008822,-1.701797895029813,3467.281849053454,522.2868404827822,3229994.885095724,1.1448978643489696,0.6616823321566548,True,
