fixed_baseline_cap_ratio,base_cost_billion_cny,ldes_cost_billion_cny,total_cost_reduction_billion_cny,pv_cost_delta_billion_cny,wind_cost_delta_billion_cny,bess_power_cost_delta_billion_cny,bess_energy_cost_delta_billion_cny,bess_degradation_cost_delta_billion_cny,ldes_power_cost_delta_billion_cny,ldes_energy_cost_delta_billion_cny,grid_purchase_cost_delta_billion_cny,curtailment_delta_mwh,pv_curtailment_delta_mwh,wind_curtailment_delta_mwh,bess_energy_delta_mwh,ldes_energy_delta_mwh,peak_grid_import_delta_mw,pv_mw_delta,wind_mw_delta
0.14,10.722882634181012,8.079650952855976,2.6432316813250356,-0.1502182995270729,-0.07351604647702085,-0.517214186340355,-2.151907110378076,-0.2599019586185073,0.13934591916780312,0.3657237405423555,0.0044562603058393,-1302851.625376591,-687453.1396508795,-615398.4857257116,-12875.460751060698,19479.903462029502,-31.879481102646196,-322.2644804143629,-71.21804097834774
0.15,10.082958321037948,6.652220224773791,3.4307380962641565,-0.15029367768951463,-0.07335978113978076,-0.5227125910000985,-3.067711733882738,-0.3708487866845371,0.22749980005103507,0.5160025728650032,0.010686101216472269,-1514754.4386699887,-849539.8083257808,-665214.6303442079,-18354.9753772764,27484.35278131744,-193.140652454362,-322.42618976954964,-71.06666026999392
0.25,6.595777846292342,4.57413469164518,2.021643154647162,-0.26359976379916955,0.18273954878701998,-0.2849010464636505,-1.9536071757507465,-0.39791257118360507,0.2759278192514118,0.4731476546962694,-0.053437620184691906,-836784.3106729137,-688396.6466374465,-148387.6640354671,-11688.97690474659,25201.72910596588,244.71616764438204,-565.502613100597,177.02737426102908
0.4,5.3709271833666525,4.278827816867857,1.092099366498796,-0.15767070380663728,-0.047612004973289906,-0.12330033536591004,-0.8381563701459045,-0.2549257815864779,0.23684139697206022,0.37472264695077145,-0.2819982145434077,-776848.462939874,-656278.3639797932,-120570.09896008091,-5014.923457903852,19959.22106891994,1325.5199954081725,-338.25218098448295,-46.123722421729326
1.0,5.212000088506674,4.249646784463997,0.9623533040426766,-0.00434593844481802,-0.10138778877773881,-0.07915942009442632,-0.49104618618769263,-0.17473982892038692,0.2310037369962009,0.3572357510323028,-0.6999136296461175,-667587.4656096454,-555900.2244375193,-111687.24117212604,-2938.0663629606547,19027.799324635125,1228.24853156866,-9.32337537597914,-98.21855284524923
