from_run_id,to_run_id,finite_difference_MAC_CNY_per_tCO2,emissions_reduction_ton,cost_change_cny
r2_R2B_storage_calendar_sensitivity_0043_k100_repday_opt_base_with_storage_degradation_liion_8h_calendar_mid_baseline_capfix0p25,r2_R2B_storage_calendar_sensitivity_0044_k100_repday_opt_base_with_storage_degradation_liion_8h_calendar_mid_baseline_capfix0p15,6664.047902818097,482722.7355775556,3216887433.6682243
r2_R2B_storage_calendar_sensitivity_0044_k100_repday_opt_base_with_storage_degradation_liion_8h_calendar_mid_baseline_capfix0p15,r2_R2B_storage_calendar_sensitivity_0045_k100_repday_opt_base_with_storage_degradation_liion_8h_calendar_mid_baseline_capfix0p14,12433.923164227126,48272.273557756096,600213740.3796921
r2_R2C_flexibility_ablation_ramped_0055_k100_repday_opt_base_with_DR10_liion_4h_with_degradation_baseline_capfix0p40,r2_R2C_flexibility_ablation_ramped_0056_k100_repday_opt_base_with_DR10_liion_4h_with_degradation_baseline_capfix0p25,1707.6123371139204,724084.1033663324,1236454948.0164204
r2_R2C_flexibility_ablation_ramped_0056_k100_repday_opt_base_with_DR10_liion_4h_with_degradation_baseline_capfix0p25,r2_R2C_flexibility_ablation_ramped_0057_k100_repday_opt_base_with_DR10_liion_4h_with_degradation_baseline_capfix0p15,7216.061742142136,482722.73557755735,3483357064.263406
r2_R2C_flexibility_ablation_ramped_0057_k100_repday_opt_base_with_DR10_liion_4h_with_degradation_baseline_capfix0p15,r2_R2C_flexibility_ablation_ramped_0058_k100_repday_opt_base_with_DR10_liion_4h_with_degradation_baseline_capfix0p14,13273.78183449757,48272.27355775621,640755627.8608418
r2_R2C_flexibility_ablation_ramped_0067_k100_repday_opt_base_with_DR10_EV_medium_thermal10_liion_4h_with_degradation_baseline_capfix0p40,r2_R2C_flexibility_ablation_ramped_0068_k100_repday_opt_base_with_DR10_EV_medium_thermal10_liion_4h_with_degradation_baseline_capfix0p25,1958.007632969081,724084.103366323,1417762201.3028336
r2_R2C_flexibility_ablation_ramped_0063_k100_repday_opt_base_with_DR10_thermal10_liion_4h_with_degradation_baseline_capfix0p40,r2_R2C_flexibility_ablation_ramped_0064_k100_repday_opt_base_with_DR10_thermal10_liion_4h_with_degradation_baseline_capfix0p25,1723.4533367606198,724084.1033663338,1247925164.0420294
r2_R2C_flexibility_ablation_ramped_0064_k100_repday_opt_base_with_DR10_thermal10_liion_4h_with_degradation_baseline_capfix0p25,r2_R2C_flexibility_ablation_ramped_0065_k100_repday_opt_base_with_DR10_thermal10_liion_4h_with_degradation_baseline_capfix0p15,7210.157101859459,482722.7355775597,3480506760.1535673
r2_R2C_flexibility_ablation_ramped_0065_k100_repday_opt_base_with_DR10_thermal10_liion_4h_with_degradation_baseline_capfix0p15,r2_R2C_flexibility_ablation_ramped_0066_k100_repday_opt_base_with_DR10_thermal10_liion_4h_with_degradation_baseline_capfix0p14,13285.618857306103,48272.27355775703,641327027.8639755
r2_R2C_flexibility_ablation_ramped_0051_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40,r2_R2C_flexibility_ablation_ramped_0052_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p25,1691.5861807091887,724084.1033663312,1224850662.9256897
