experiment_id,run_id,r2_family,technology_set,grid_carbon_scenario,spatial_resolution,network_mode,fixed_baseline_cap_ratio,co2_cap_mt,actual_emissions_mt,total_system_cost_billion_cny,dual_MAC_CNY_per_tCO2,dual_shadow_price_raw,co2_cap_slack,co2_cap_is_binding,is_valid_result,invalid_reason
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0018_k100_repday_opt_base_with_storage_degradation_legacy_no_degradation_baseline_capfix0p25,R2B_storage_calendar_sensitivity,base_with_storage_degradation,baseline,k100,node_interface,0.25,1.2068068389438917,1.206806838943891,6.1562182691001635,2568.7622590302853,-2568.7622590302853,0.0,True,True,
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0019_k100_repday_opt_base_with_storage_degradation_legacy_no_degradation_baseline_capfix0p15,R2B_storage_calendar_sensitivity,base_with_storage_degradation,baseline,k100,node_interface,0.15,0.7240841033663348,0.7240841033663367,9.42111664835506,11692.40140413566,-11692.40140413566,0.0,True,True,
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0020_k100_repday_opt_base_with_storage_degradation_legacy_no_degradation_baseline_capfix0p14,R2B_storage_calendar_sensitivity,base_with_storage_degradation,baseline,k100,node_interface,0.14,0.6758118298085793,0.6758118298085808,10.010773979752129,15063.4132195795,-15063.4132195795,0.0,True,True,
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0021_k100_repday_opt_base_with_storage_degradation_liion_4h_throughput_only_baseline_capfix1p00,R2B_storage_calendar_sensitivity,base_with_storage_degradation,baseline,k100,node_interface,1.0,4.827227355775566,2.3609681029713454,5.175561119958105,,-0.0,2466259.2528042225,False,True,
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0022_k100_repday_opt_base_with_storage_degradation_liion_4h_throughput_only_baseline_capfix0p40,R2B_storage_calendar_sensitivity,base_with_storage_degradation,baseline,k100,node_interface,0.4,1.9308909423102263,1.930890942310223,5.310483622061987,764.0162743389943,-764.0162743389943,0.0,True,True,
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0023_k100_repday_opt_base_with_storage_degradation_liion_4h_throughput_only_baseline_capfix0p25,R2B_storage_calendar_sensitivity,base_with_storage_degradation,baseline,k100,node_interface,0.25,1.2068068389438917,1.2068068389438953,6.45542086437052,2634.013009898169,-2634.013009898169,0.0,True,True,
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0024_k100_repday_opt_base_with_storage_degradation_liion_4h_throughput_only_baseline_capfix0p15,R2B_storage_calendar_sensitivity,base_with_storage_degradation,baseline,k100,node_interface,0.15,0.7240841033663348,0.7240841033663369,9.745520128368337,12002.582543330662,-12002.582543330662,0.0,True,True,
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0025_k100_repday_opt_base_with_storage_degradation_liion_4h_throughput_only_baseline_capfix0p14,R2B_storage_calendar_sensitivity,base_with_storage_degradation,baseline,k100,node_interface,0.14,0.6758118298085793,0.6758118298085808,10.347465816971267,12491.654257848191,-12491.654257848191,0.0,True,True,
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0026_k100_repday_opt_base_with_storage_degradation_liion_4h_calendar_low_baseline_capfix1p00,R2B_storage_calendar_sensitivity,base_with_storage_degradation,baseline,k100,node_interface,1.0,4.827227355775566,2.3945292911707305,5.194153559572136,,-0.0,2432698.0646048286,False,True,
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0027_k100_repday_opt_base_with_storage_degradation_liion_4h_calendar_low_baseline_capfix0p40,R2B_storage_calendar_sensitivity,base_with_storage_degradation,baseline,k100,node_interface,0.4,1.9308909423102263,1.9308909423102225,5.340788763023512,818.331838648334,-818.331838648334,0.0,True,True,
