dataset_id,spatial_resolution,temporal_mode,weights_csv,use_existing_weights,n_rep_days,grid_carbon_scenario,technology_set,storage_model,bess_degradation_mode,bess_calendar_ageing_cost_yuan_per_kwh_year,dr_ramp_fraction_per_h,thermal_ramp_fraction_per_h,load_shedding_penalty_yuan_per_kwh,compute_reference_context,experiment_id,fixed_baseline_reference_ton,fixed_baseline_cap_ratio,co2_cap_ton,co2_cap_ratio,run_id,storage_model_label,bess_degradation_cost_yuan_per_kwh,h_max_liion,enable_ldes,flex_case,dr_fraction,thermal_flex_fraction,ev_mode,ev_penetration,network_mode,allow_large_spatial_transfer_proxy,network_k_nearest,transfer_cap_mw,solver_method,solver_name,solver_time_limit_seconds
xinwu_k100,k100,repday_opt,workflow/03_formulation/outputs/weights_k100_typical.csv,True,8,2050,base_with_storage_degradation,liion_4h_with_degradation,throughput_plus_calendar,12.0,0.05,0.05,100000.0,True,R2A_fixed_absolute_cap_core,4827227.355775566,0.25,1206806.8389438915,0.25,r2_R2A_fixed_absolute_cap_core_0013_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_2050_capfix0p25,,,,,,,,,,,,,,,,
xinwu_k100,k100,repday_opt,workflow/03_formulation/outputs/weights_k100_typical.csv,True,8,2050,base_with_storage_degradation,liion_4h_with_degradation,throughput_plus_calendar,12.0,0.05,0.05,100000.0,True,R2A_fixed_absolute_cap_core,4827227.355775566,0.15,724084.1033663348,0.15,r2_R2A_fixed_absolute_cap_core_0014_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_2050_capfix0p15,,,,,,,,,,,,,,,,
xinwu_k100,k100,repday_opt,workflow/03_formulation/outputs/weights_k100_typical.csv,True,8,2050,base_with_storage_degradation,liion_4h_with_degradation,throughput_plus_calendar,12.0,0.05,0.05,100000.0,True,R2A_fixed_absolute_cap_core,4827227.355775566,0.14,675811.8298085793,0.14,r2_R2A_fixed_absolute_cap_core_0015_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_2050_capfix0p14,,,,,,,,,,,,,,,,
xinwu_k100,k100,repday_opt,workflow/03_formulation/outputs/weights_k100_typical.csv,True,8,baseline,base_with_storage_degradation,legacy_no_degradation,throughput_plus_calendar,0.0,0.05,0.05,100000.0,True,R2B_storage_calendar_sensitivity,4827227.355775566,1.0,4827227.355775566,1.0,r2_R2B_storage_calendar_sensitivity_0016_k100_repday_opt_base_with_storage_degradation_legacy_no_degradation_baseline_capfix1p00,legacy_no_degradation,0.0,,,,,,,,,,,,,,
xinwu_k100,k100,repday_opt,workflow/03_formulation/outputs/weights_k100_typical.csv,True,8,baseline,base_with_storage_degradation,legacy_no_degradation,throughput_plus_calendar,0.0,0.05,0.05,100000.0,True,R2B_storage_calendar_sensitivity,4827227.355775566,0.4,1930890.9423102264,0.4,r2_R2B_storage_calendar_sensitivity_0017_k100_repday_opt_base_with_storage_degradation_legacy_no_degradation_baseline_capfix0p40,legacy_no_degradation,0.0,,,,,,,,,,,,,,
xinwu_k100,k100,repday_opt,workflow/03_formulation/outputs/weights_k100_typical.csv,True,8,baseline,base_with_storage_degradation,legacy_no_degradation,throughput_plus_calendar,0.0,0.05,0.05,100000.0,True,R2B_storage_calendar_sensitivity,4827227.355775566,0.25,1206806.8389438915,0.25,r2_R2B_storage_calendar_sensitivity_0018_k100_repday_opt_base_with_storage_degradation_legacy_no_degradation_baseline_capfix0p25,legacy_no_degradation,0.0,,,,,,,,,,,,,,
xinwu_k100,k100,repday_opt,workflow/03_formulation/outputs/weights_k100_typical.csv,True,8,baseline,base_with_storage_degradation,legacy_no_degradation,throughput_plus_calendar,0.0,0.05,0.05,100000.0,True,R2B_storage_calendar_sensitivity,4827227.355775566,0.15,724084.1033663348,0.15,r2_R2B_storage_calendar_sensitivity_0019_k100_repday_opt_base_with_storage_degradation_legacy_no_degradation_baseline_capfix0p15,legacy_no_degradation,0.0,,,,,,,,,,,,,,
xinwu_k100,k100,repday_opt,workflow/03_formulation/outputs/weights_k100_typical.csv,True,8,baseline,base_with_storage_degradation,legacy_no_degradation,throughput_plus_calendar,0.0,0.05,0.05,100000.0,True,R2B_storage_calendar_sensitivity,4827227.355775566,0.14,675811.8298085793,0.14,r2_R2B_storage_calendar_sensitivity_0020_k100_repday_opt_base_with_storage_degradation_legacy_no_degradation_baseline_capfix0p14,legacy_no_degradation,0.0,,,,,,,,,,,,,,
xinwu_k100,k100,repday_opt,workflow/03_formulation/outputs/weights_k100_typical.csv,True,8,baseline,base_with_storage_degradation,liion_4h_with_degradation,throughput_plus_calendar,0.0,0.05,0.05,100000.0,True,R2B_storage_calendar_sensitivity,4827227.355775566,1.0,4827227.355775566,1.0,r2_R2B_storage_calendar_sensitivity_0021_k100_repday_opt_base_with_storage_degradation_liion_4h_throughput_only_baseline_capfix1p00,liion_4h_throughput_only,,,,,,,,,,,,,,,
xinwu_k100,k100,repday_opt,workflow/03_formulation/outputs/weights_k100_typical.csv,True,8,baseline,base_with_storage_degradation,liion_4h_with_degradation,throughput_plus_calendar,0.0,0.05,0.05,100000.0,True,R2B_storage_calendar_sensitivity,4827227.355775566,0.4,1930890.9423102264,0.4,r2_R2B_storage_calendar_sensitivity_0022_k100_repday_opt_base_with_storage_degradation_liion_4h_throughput_only_baseline_capfix0p40,liion_4h_throughput_only,,,,,,,,,,,,,,,
xinwu_k100,k100,repday_opt,workflow/03_formulation/outputs/weights_k100_typical.csv,True,8,baseline,base_with_storage_degradation,liion_4h_with_degradation,throughput_plus_calendar,0.0,0.05,0.05,100000.0,True,R2B_storage_calendar_sensitivity,4827227.355775566,0.25,1206806.8389438915,0.25,r2_R2B_storage_calendar_sensitivity_0023_k100_repday_opt_base_with_storage_degradation_liion_4h_throughput_only_baseline_capfix0p25,liion_4h_throughput_only,,,,,,,,,,,,,,,
xinwu_k100,k100,repday_opt,workflow/03_formulation/outputs/weights_k100_typical.csv,True,8,baseline,base_with_storage_degradation,liion_4h_with_degradation,throughput_plus_calendar,0.0,0.05,0.05,100000.0,True,R2B_storage_calendar_sensitivity,4827227.355775566,0.15,724084.1033663348,0.15,r2_R2B_storage_calendar_sensitivity_0024_k100_repday_opt_base_with_storage_degradation_liion_4h_throughput_only_baseline_capfix0p15,liion_4h_throughput_only,,,,,,,,,,,,,,,
xinwu_k100,k100,repday_opt,workflow/03_formulation/outputs/weights_k100_typical.csv,True,8,baseline,base_with_storage_degradation,liion_4h_with_degradation,throughput_plus_calendar,0.0,0.05,0.05,100000.0,True,R2B_storage_calendar_sensitivity,4827227.355775566,0.14,675811.8298085793,0.14,r2_R2B_storage_calendar_sensitivity_0025_k100_repday_opt_base_with_storage_degradation_liion_4h_throughput_only_baseline_capfix0p14,liion_4h_throughput_only,,,,,,,,,,,,,,,
xinwu_k100,k100,repday_opt,workflow/03_formulation/outputs/weights_k100_typical.csv,True,8,baseline,base_with_storage_degradation,liion_4h_with_degradation,throughput_plus_calendar,6.0,0.05,0.05,100000.0,True,R2B_storage_calendar_sensitivity,4827227.355775566,1.0,4827227.355775566,1.0,r2_R2B_storage_calendar_sensitivity_0026_k100_repday_opt_base_with_storage_degradation_liion_4h_calendar_low_baseline_capfix1p00,liion_4h_calendar_low,,,,,,,,,,,,,,,
xinwu_k100,k100,repday_opt,workflow/03_formulation/outputs/weights_k100_typical.csv,True,8,baseline,base_with_storage_degradation,liion_4h_with_degradation,throughput_plus_calendar,6.0,0.05,0.05,100000.0,True,R2B_storage_calendar_sensitivity,4827227.355775566,0.4,1930890.9423102264,0.4,r2_R2B_storage_calendar_sensitivity_0027_k100_repday_opt_base_with_storage_degradation_liion_4h_calendar_low_baseline_capfix0p40,liion_4h_calendar_low,,,,,,,,,,,,,,,
xinwu_k100,k100,repday_opt,workflow/03_formulation/outputs/weights_k100_typical.csv,True,8,baseline,base_with_storage_degradation,liion_4h_with_degradation,throughput_plus_calendar,6.0,0.05,0.05,100000.0,True,R2B_storage_calendar_sensitivity,4827227.355775566,0.25,1206806.8389438915,0.25,r2_R2B_storage_calendar_sensitivity_0028_k100_repday_opt_base_with_storage_degradation_liion_4h_calendar_low_baseline_capfix0p25,liion_4h_calendar_low,,,,,,,,,,,,,,,
xinwu_k100,k100,repday_opt,workflow/03_formulation/outputs/weights_k100_typical.csv,True,8,baseline,base_with_storage_degradation,liion_4h_with_degradation,throughput_plus_calendar,6.0,0.05,0.05,100000.0,True,R2B_storage_calendar_sensitivity,4827227.355775566,0.15,724084.1033663348,0.15,r2_R2B_storage_calendar_sensitivity_0029_k100_repday_opt_base_with_storage_degradation_liion_4h_calendar_low_baseline_capfix0p15,liion_4h_calendar_low,,,,,,,,,,,,,,,
xinwu_k100,k100,repday_opt,workflow/03_formulation/outputs/weights_k100_typical.csv,True,8,baseline,base_with_storage_degradation,liion_4h_with_degradation,throughput_plus_calendar,6.0,0.05,0.05,100000.0,True,R2B_storage_calendar_sensitivity,4827227.355775566,0.14,675811.8298085793,0.14,r2_R2B_storage_calendar_sensitivity_0030_k100_repday_opt_base_with_storage_degradation_liion_4h_calendar_low_baseline_capfix0p14,liion_4h_calendar_low,,,,,,,,,,,,,,,
xinwu_k100,k100,repday_opt,workflow/03_formulation/outputs/weights_k100_typical.csv,True,8,baseline,base_with_storage_degradation,liion_4h_with_degradation,throughput_plus_calendar,12.0,0.05,0.05,100000.0,True,R2B_storage_calendar_sensitivity,4827227.355775566,1.0,4827227.355775566,1.0,r2_R2B_storage_calendar_sensitivity_0031_k100_repday_opt_base_with_storage_degradation_liion_4h_calendar_mid_baseline_capfix1p00,liion_4h_calendar_mid,,,,,,,,,,,,,,,
