fixed_baseline_cap_ratio,stress_window_type,r35_fixed_capacity_load_shedding_mwh,r35_fixed_capacity_cap_violation_ton,no_carbon_cap_load_shedding_mwh,no_carbon_cap_actual_emissions_ton,minimum_cap_multiplier_eliminating_load_shedding,load_shedding_at_1p0,load_shedding_at_1p25,load_shedding_at_1p5,load_shedding_at_2p0,stress_expansion_is_valid,stress_expansion_load_shedding_mwh,stress_expansion_cap_violation_ton,pv_augmentation_mw,wind_augmentation_mw,bess_power_augmentation_mw,bess_energy_augmentation_mwh,grid_expansion_augmentation_mw,diagnosis
0.14,high_pv_week,1477.2069859542264,2.1827872842550278e-11,0.0,18690.70634678589,1.25,1477.206985954245,0.0,0.0,0.0,True,0.0,1.091393642127514e-11,-283.83021445802115,-572.5134071620034,-1930.848971717789,-7723.395886871156,0.0,carbon-cap-driven stress-period infeasibility under fixed representative-day capacities
0.14,peak_load_week,83661.61444856095,3.637978807091713e-12,0.0,75689.51296284329,no_carbon_cap,83661.61444856097,73631.39561599535,63601.176783429786,43540.73911829833,False,80522.90431237323,1.091393642127514e-11,-13.02958603406023,17.637695497674713,-2211.5924053068165,-8846.369890502643,0.0,carbon-cap-driven stress-period infeasibility under fixed representative-day capacities; stress-period capacity expansion remains invalid
0.14,renewable_scarcity_week,133137.84967247993,0.0,0.0,104793.42857781785,no_carbon_cap,133137.84967248,125091.27192225102,117044.694172022,100951.53867156387,False,131951.30563813887,1.4551915228366852e-11,51.88338490272508,38.42121115141731,-5353.215089602605,-22221.380799832332,0.0,carbon-cap-driven stress-period infeasibility under fixed representative-day capacities; stress-period capacity expansion remains invalid
0.25,high_pv_week,36157.072182110336,7.275957614183426e-12,0.0,53496.14460623625,2.0,36157.072182110365,22955.577543910174,9754.08290570971,0.0,True,0.0,1.4551915228366852e-11,-394.3057806385796,-512.293663525492,1709.764546876946,6839.058187507786,0.0,carbon-cap-driven stress-period infeasibility under fixed representative-day capacities
0.25,peak_load_week,93540.5022112659,7.275957614183426e-12,0.0,100626.37227772376,no_carbon_cap,93540.50221126594,75629.39715311295,57718.29209496005,21896.08197865368,False,48999.359410024,0.0,341.1512827442875,362.10527087261767,2683.43220338016,10733.728544245265,0.0,carbon-cap-driven stress-period infeasibility under fixed representative-day capacities; stress-period capacity expansion remains invalid
0.25,renewable_scarcity_week,122575.5824398455,0.0,0.0,112412.34077465524,no_carbon_cap,122575.5824398456,108206.69360015064,93837.80476045568,65100.02708106621,False,106662.06128027623,0.0,406.0642536810728,382.88878652636026,-458.1904809156281,-2641.2823650844275,0.0,carbon-cap-driven stress-period infeasibility under fixed representative-day capacities; stress-period capacity expansion remains invalid
