experiment_id,run_id,r2_family,dataset_id,spatial_resolution,temporal_mode,technology_set,storage_model,storage_model_label,flex_case,network_mode,grid_carbon_scenario,fixed_baseline_reference_ton,fixed_baseline_cap_ratio,co2_cap_ton_config,bess_calendar_ageing_cost_yuan_per_kwh_year,dr_ramp_fraction_per_h,thermal_ramp_fraction_per_h,solver_status,is_valid_result,invalid_reason,runtime_seconds,git_commit,pv_mw,wind_mw,bess_power_mw,bess_energy_mwh,ldes_power_mw,ldes_energy_mwh,grid_expansion_mw,total_grid_interface_mw,E_ref_grid_only_ton,E_lc_unconstrained_ton,E_min_techset_ton,co2_cap_ratio,co2_cap_ton,actual_emissions_ton,reduction_vs_grid_only,reduction_vs_unconstrained_lc,cap_violation_ton,cap_violation_ratio,pv_cost,wind_cost,bess_power_cost,bess_energy_cost,bess_degradation_cost,bess_replacement_proxy_cost,ldes_power_cost,ldes_energy_cost,grid_purchase_cost,grid_expansion_cost,demand_response_cost,ev_flexibility_cost,thermal_flexibility_cost,load_shedding_penalty,total_system_cost,pv_curtailment_mwh,wind_curtailment_mwh,pv_generation_mwh,wind_generation_mwh,bess_charge_mwh,bess_discharge_mwh,bess_throughput_mwh,bess_equivalent_full_cycles,bess_cycling_degradation_cost_yuan,bess_calendar_ageing_cost_yuan,bess_average_duration_h,bess_max_duration_h,ldes_charge_mwh,ldes_discharge_mwh,ldes_equivalent_full_cycles,grid_import_mwh,peak_grid_import_mw,DR_shifted_mwh,DR_peak_reduction_mw,thermal_shifted_mwh,thermal_peak_reduction_mw,EV_charge_mwh,EV_discharge_mwh,co2_cap_mt,actual_emissions_mt,total_system_cost_billion_cny,fixed_cap_ratio_check
R2E_spatial_resolution_revised,r2_R2E_spatial_resolution_revised_0089_k70_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40,R2E_spatial_resolution_revised,xinwu_k70,k70,repday_opt,base_with_storage_degradation,liion_4h_with_degradation,liion_4h_with_degradation,,node_interface,baseline,4827227.355775566,0.4,1930890.9423102264,12.0,0.05,0.05,optimal,True,,20.72075219999533,873f2d9,1402.9012383472202,904.9383571436214,8034.887827992988,32139.55131197195,0.0,0.0,266.0274366352389,4465.907436635239,4907876.207518072,3825648.4115110366,1296881.8507111082,0.393426985658769,1930890.9423102264,1930890.9423102376,0.6065730143412287,0.4952774707418595,1.1408701539039612e-08,5.908516783133075e-15,653939392.1352323,934138167.9234272,783352715.6628009,5371561478.830634,711582407.0742209,0.0,0.0,0.0,2103879111.712316,18554787.36538458,0.0,0.0,0.0,0.0,10577008060.704016,505233.60437860055,43641.20291501588,1473967.384715791,1860432.093127164,2436326.7780150794,4081829.048596068,6518155.826611148,158.75412388985308,325907791.3305574,385674615.7436634,4.0,4.0,0.0,0.0,0.0,3229994.885095748,4241.97156415381,0.0,0.0,0.0,0.0,0.0,0.0,1.9308909423102263,1.9308909423102376,10.577008060704015,0.4
R2E_spatial_resolution_revised,r2_R2E_spatial_resolution_revised_0090_k70_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p25,R2E_spatial_resolution_revised,xinwu_k70,k70,repday_opt,base_with_storage_degradation,liion_4h_with_degradation,liion_4h_with_degradation,,node_interface,baseline,4827227.355775566,0.25,1206806.8389438915,12.0,0.05,0.05,optimal,False,load_shedding,25.200536199990893,873f2d9,1507.1757898491933,924.999923767209,21795.13168400296,87180.52673601183,0.0,0.0,2638.7676491376747,6838.647649137675,4907876.207518072,3825648.4115110366,1296881.8507111082,0.2458918660367306,1206806.8389438917,1206806.838943894,0.7541081339632688,0.6845484192136634,2.561137080192566e-09,2.122242762921268e-15,702545263.2831608,954847064.7709258,2124892837.1358185,14570693740.359898,1474939934.3810444,0.0,0.0,0.0,1459509868.6988678,184047830.76393265,0.0,0.0,0.0,14976616192678.416,14998087669217.81,456502.42826727225,40414.56206064467,1669808.2003575673,1905870.1100196952,3054883.4564736173,5520588.814504429,8575472.270978047,79.15455751978193,428773613.54890233,1046166320.832142,4.0,4.0,0.0,0.0,0.0,2018746.803184834,6280.137739300099,0.0,0.0,0.0,0.0,0.0,0.0,1.2068068389438917,1.206806838943894,14998.08766921781,0.25
R2E_spatial_resolution_revised,r2_R2E_spatial_resolution_revised_0091_k70_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p14,R2E_spatial_resolution_revised,xinwu_k70,k70,repday_opt,base_with_storage_degradation,liion_4h_with_degradation,liion_4h_with_degradation,,node_interface,baseline,4827227.355775566,0.14,675811.8298085793,12.0,0.05,0.05,optimal,False,load_shedding,15.91826880001463,873f2d9,1507.1757898491933,924.999923767209,21795.13168400296,87180.52673601183,0.0,0.0,603.7983642005012,4803.678364200501,4907876.207518072,3825648.4115110366,1296881.8507111082,0.1376994449805691,675811.8298085793,675811.8298085795,0.8623005550194307,0.8233471147596518,2.3283064365386963e-10,3.4451992904566037e-16,702545263.2831608,954847064.7709258,2124892837.1358185,14570693740.359898,1474939934.3810444,0.0,0.0,0.0,728070005.2527856,42113514.30893461,0.0,0.0,0.0,103801475532811.28,103822073635170.78,456502.42826727225,40414.56206064467,1669808.2003575673,1905870.1100196952,3054883.4564736173,5520588.814504429,8575472.270978047,79.15455751978193,428773613.54890233,1046166320.832142,4.0,4.0,0.0,0.0,0.0,1130498.2097835054,4245.168454362926,0.0,0.0,0.0,0.0,0.0,0.0,0.6758118298085793,0.6758118298085796,103822.07363517077,0.14
R2E_spatial_resolution_revised,r2_R2E_spatial_resolution_revised_0092_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40,R2E_spatial_resolution_revised,xinwu_k100,k100,repday_opt,base_with_storage_degradation,liion_4h_with_degradation,liion_4h_with_degradation,,node_interface,baseline,4827227.355775566,0.4,1930890.9423102264,12.0,0.05,0.05,optimal,True,,42.055955100018764,873f2d9,3467.4239660176904,522.2802722305886,1264.697682168321,5014.923457903852,0.0,0.0,0.0,3851.261635805,4827227.355775566,2411564.955516815,674001.4173518054,0.4,1930890.9423102264,1930890.942310226,0.6000000000000001,0.1993203675094779,0.0,0.0,1616282785.0120828,539132784.8937669,123300335.36591004,838156370.1459045,254925781.58647788,0.0,0.0,0.0,1999129126.3625104,0.0,0.0,0.0,0.0,0.0,5370927183.3666525,689810.1404191359,126582.87758260289,3442268.0341394586,1272381.574742758,1882295.6415356284,2012638.3602970045,3894934.001832633,501.66228288214273,194746700.09163165,60179081.49484623,3.96531402612028,4.0,0.0,0.0,0.0,3229994.885095728,2013.4517532876528,0.0,0.0,0.0,0.0,0.0,0.0,1.9308909423102263,1.9308909423102258,5.3709271833666525,0.4
R2E_spatial_resolution_revised,r2_R2E_spatial_resolution_revised_0093_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p25,R2E_spatial_resolution_revised,xinwu_k100,k100,repday_opt,base_with_storage_degradation,liion_4h_with_degradation,liion_4h_with_degradation,,node_interface,baseline,4827227.355775566,0.25,1206806.8389438915,12.0,0.05,0.05,optimal,True,,26.115315400005784,873f2d9,4772.042311790851,512.293663525492,2922.244226186648,11688.97690474659,0.0,0.0,0.0,3851.261635805,4827227.355775566,2411564.955516815,674001.4173518054,0.25,1206806.8389438917,1206806.8389438947,0.7499999999999993,0.4995752296934221,3.2596290111541752e-09,2.7010362437179777e-15,2224409219.49187,528823936.4667945,284901046.4636505,1953607175.7507465,397912571.1836051,0.0,0.0,0.0,1206123896.9356756,0.0,0.0,0.0,0.0,0.0,6595777846.292342,887210.3376036449,186121.11160005664,4799562.343750234,1186093.506736658,2541156.2037326624,2611740.7628002563,5152896.966532919,279.2952693896264,257644848.326646,140267722.85695907,4.0,4.0,0.0,0.0,0.0,2018746.8031848352,2136.097314570276,0.0,0.0,0.0,0.0,0.0,0.0,1.2068068389438917,1.2068068389438946,6.595777846292342,0.25
R2E_spatial_resolution_revised,r2_R2E_spatial_resolution_revised_0094_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p14,R2E_spatial_resolution_revised,xinwu_k100,k100,repday_opt,base_with_storage_degradation,liion_4h_with_degradation,liion_4h_with_degradation,,node_interface,baseline,4827227.355775566,0.14,675811.8298085793,12.0,0.05,0.05,optimal,True,,30.988486199988984,873f2d9,5126.223180569199,856.7612389004349,7817.268834873625,31269.0753394945,0.0,0.0,0.0,3851.261635805,4827227.355775566,2411564.955516815,674001.4173518054,0.14,675811.8298085793,675811.8298085812,0.8599999999999997,0.7197621286283165,1.862645149230957e-09,2.756159432365283e-15,2389504819.740757,884406509.8317392,762136186.8338677,5226076709.717951,707664593.1833723,0.0,0.0,0.0,753093814.8733249,0.0,0.0,0.0,0.0,0.0,10722882634.181011,759490.914618606,639606.194711231,5349353.902149979,1655289.058048322,3354433.869715627,3294279.912473139,6648713.782188766,131.69081099722706,332435689.1094383,375228904.073934,4.0,4.0,0.0,0.0,0.0,1130498.2097835082,1411.0084193446844,0.0,0.0,0.0,0.0,0.0,0.0,0.6758118298085793,0.6758118298085811,10.722882634181012,0.14
R2E_spatial_resolution_revised,r2_R2E_spatial_resolution_revised_0095_k150_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40,R2E_spatial_resolution_revised,xinwu_k150,k150,repday_opt,base_with_storage_degradation,liion_4h_with_degradation,liion_4h_with_degradation,,node_interface,baseline,4827227.355775566,0.4,1930890.9423102264,12.0,0.05,0.05,optimal,True,,102.95349300000817,873f2d9,1373.0407253572052,846.5212121721996,8382.912023823756,33531.64809529502,0.0,0.0,392.0413929325992,4594.454392932599,4907876.225011935,3854679.026628828,1332931.7602842734,0.3934269842564195,1930890.9423102264,1930890.942310241,0.6065730157435775,0.4990786706308636,1.4668330550193788e-08,7.596664435456811e-15,640020403.984262,873836066.2961222,817282958.9663334,5604226004.340572,741528638.9328072,0.0,0.0,0.0,2232091643.4807253,27343964.127533097,0.0,0.0,0.0,0.0,10936329680.128357,437058.0467939318,17017.967055598427,1500015.987651585,1764140.2984841713,2533615.872116707,4249361.36366863,6782977.235785337,158.4086081748871,339148861.7892669,402379777.14354026,4.0,4.0,0.0,0.0,0.0,3229994.885095753,4365.874958921912,0.0,0.0,0.0,0.0,0.0,0.0,1.9308909423102263,1.930890942310241,10.936329680128356,0.4
R2E_spatial_resolution_revised,r2_R2E_spatial_resolution_revised_0096_k150_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p25,R2E_spatial_resolution_revised,xinwu_k150,k150,repday_opt,base_with_storage_degradation,liion_4h_with_degradation,liion_4h_with_degradation,,node_interface,baseline,4827227.355775566,0.25,1206806.8389438915,12.0,0.05,0.05,optimal,False,load_shedding,93.49333729999489,873f2d9,1370.7224323150288,925.0000512508154,22340.937634745515,89363.75053898206,0.0,0.0,2692.681638749867,6895.094638749868,4907876.225011935,3854679.026628828,1332931.7602842734,0.2458918651602621,1206806.8389438917,1206806.8389438936,0.7541081348397374,0.6869241691442916,2.0954757928848267e-09,1.7363804423901284e-15,638939769.7233797,954847196.3680688,2178105599.1422167,14935581251.260914,1501787858.5039873,0.0,0.0,0.0,1448416365.9266503,187808204.60328743,0.0,0.0,0.0,20903562711074.09,20925408197319.617,406292.7407573013,39544.18202855968,1527510.6658231402,1906740.7582889795,3020297.116174157,5568159.924549894,8588457.040724052,77.88616596447801,429422852.0362026,1072365006.4677848,4.0,4.0,0.0,0.0,0.0,2018746.803184834,6373.46638517257,0.0,0.0,0.0,0.0,0.0,0.0,1.2068068389438917,1.2068068389438935,20925.40819731962,0.25
R2E_spatial_resolution_revised,r2_R2E_spatial_resolution_revised_0097_k150_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p14,R2E_spatial_resolution_revised,xinwu_k150,k150,repday_opt,base_with_storage_degradation,liion_4h_with_degradation,liion_4h_with_degradation,,node_interface,baseline,4827227.355775566,0.14,675811.8298085793,12.0,0.05,0.05,optimal,False,load_shedding,67.40379920002306,873f2d9,1370.7224323150288,925.0000512508154,22340.937634745515,89363.75053898206,0.0,0.0,566.8825136472744,4769.295513647274,4907876.225011935,3854679.026628828,1332931.7602842734,0.1376994444897468,675811.8298085793,675811.8298085757,0.8623005555102539,0.8246775347208045,0.0,0.0,638939769.7233797,954847196.3680688,2178105599.1422167,14935581251.260914,1501787858.5039873,0.0,0.0,0.0,728400135.1462295,39538720.64820924,0.0,0.0,0.0,109728422051207.6,109749399251738.4,406292.7407573013,39544.18202855968,1527510.6658231402,1906740.7582889795,3020297.116174157,5568159.924549894,8588457.040724052,77.88616596447801,429422852.0362026,1072365006.4677848,4.0,4.0,0.0,0.0,0.0,1130498.209783499,4247.667260069978,0.0,0.0,0.0,0.0,0.0,0.0,0.6758118298085793,0.6758118298085757,109749.3992517384,0.14
