fixed_baseline_cap_ratio,stress_window_type,source_run_id,stress_expansion_run_id,source_pv_mw,stress_required_pv_mw,pv_augmentation_mw,source_wind_mw,stress_required_wind_mw,wind_augmentation_mw,source_bess_power_mw,stress_required_bess_power_mw,bess_power_augmentation_mw,source_bess_energy_mwh,stress_required_bess_energy_mwh,bess_energy_augmentation_mwh,source_grid_expansion_mw,stress_required_grid_expansion_mw,grid_expansion_augmentation_mw,source_total_cost_billion_cny,stress_period_expansion_cost_billion_cny
0.25,peak_load_week,r3c_source_capfix0p25,r36b_capfix0p25_peak_load_week,4772.042311790851,5113.193594535139,341.1512827442875,512.293663525492,874.3989343981096,362.10527087261767,2922.244226186648,5605.676429566808,2683.43220338016,11688.97690474659,22422.705448991856,10733.728544245265,0.0,0.0,0.0,6.595777846292342,4907.829943654772
0.25,renewable_scarcity_week,r3c_source_capfix0p25,r36b_capfix0p25_renewable_scarcity_week,4772.042311790851,5178.106565471924,406.06425368107284,512.293663525492,895.1824500518522,382.88878652636026,2922.244226186648,2464.05374527102,-458.1904809156281,11688.97690474659,9047.694539662163,-2641.2823650844275,0.0,0.0,0.0,6.595777846292342,10671.433574490564
0.25,high_pv_week,r3c_source_capfix0p25,r36b_capfix0p25_high_pv_week,4772.042311790851,4377.736531152272,-394.30578063857956,512.293663525492,0.0,-512.293663525492,2922.244226186648,4632.008773063594,1709.764546876946,11688.97690474659,18528.035092254377,6839.058187507786,0.0,0.0,0.0,6.595777846292342,5.850046986794457
0.14,peak_load_week,r3c_source_capfix0p14,r36b_capfix0p14_peak_load_week,5126.223180569199,5113.193594535139,-13.02958603406023,856.7612389004349,874.3989343981096,17.637695497674713,7817.268834873625,5605.676429566808,-2211.5924053068165,31269.0753394945,22422.705448991856,-8846.369890502643,0.0,0.0,0.0,10.722882634181012,8060.169416072902
0.14,renewable_scarcity_week,r3c_source_capfix0p14,r36b_capfix0p14_renewable_scarcity_week,5126.223180569199,5178.106565471924,51.88338490272508,856.7612389004349,895.1824500518522,38.42121115141731,7817.268834873625,2464.05374527102,-5353.215089602605,31269.0753394945,9047.694539662163,-22221.380799832335,0.0,0.0,0.0,10.722882634181012,13200.345962480817
0.14,high_pv_week,r3c_source_capfix0p14,r36b_capfix0p14_high_pv_week,5126.223180569199,4842.392966111178,-283.83021445802115,856.7612389004349,284.2478317384315,-572.5134071620034,7817.268834873625,5886.419863155836,-1930.848971717789,31269.0753394945,23545.679452623343,-7723.395886871156,0.0,0.0,0.0,10.722882634181012,7.371934807108485
