experiment_id,run_id,r2_family,dataset_id,spatial_resolution,temporal_mode,technology_set,storage_model,storage_model_label,flex_case,network_mode,grid_carbon_scenario,fixed_baseline_reference_ton,fixed_baseline_cap_ratio,co2_cap_ton_config,bess_calendar_ageing_cost_yuan_per_kwh_year,dr_ramp_fraction_per_h,thermal_ramp_fraction_per_h,solver_status,is_valid_result,invalid_reason,runtime_seconds,git_commit,pv_mw,wind_mw,bess_power_mw,bess_energy_mwh,ldes_power_mw,ldes_energy_mwh,grid_expansion_mw,total_grid_interface_mw,E_ref_grid_only_ton,E_lc_unconstrained_ton,E_min_techset_ton,co2_cap_ratio,co2_cap_ton,actual_emissions_ton,reduction_vs_grid_only,reduction_vs_unconstrained_lc,cap_violation_ton,cap_violation_ratio,pv_cost,wind_cost,bess_power_cost,bess_energy_cost,bess_degradation_cost,bess_replacement_proxy_cost,ldes_power_cost,ldes_energy_cost,grid_purchase_cost,grid_expansion_cost,demand_response_cost,ev_flexibility_cost,thermal_flexibility_cost,load_shedding_penalty,total_system_cost,pv_curtailment_mwh,wind_curtailment_mwh,pv_generation_mwh,wind_generation_mwh,bess_charge_mwh,bess_discharge_mwh,bess_throughput_mwh,bess_equivalent_full_cycles,bess_cycling_degradation_cost_yuan,bess_calendar_ageing_cost_yuan,bess_average_duration_h,bess_max_duration_h,ldes_charge_mwh,ldes_discharge_mwh,ldes_equivalent_full_cycles,grid_import_mwh,peak_grid_import_mw,DR_shifted_mwh,DR_peak_reduction_mw,thermal_shifted_mwh,thermal_peak_reduction_mw,EV_charge_mwh,EV_discharge_mwh,co2_cap_mt,actual_emissions_mt,total_system_cost_billion_cny,fixed_cap_ratio_check,storage_short,source_panel,component,value,group,unit,source_column
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0016_k100_repday_opt_base_with_storage_degradation_legacy_no_degradation_baseline_capfix1p00,R2B_storage_calendar_sensitivity,xinwu_k100,k100,repday_opt,base_with_storage_degradation,legacy_no_degradation,legacy_no_degradation,,node_interface,baseline,4827227.355775566,1.0,4827227.355775566,0.0,0.05,0.05,optimal,True,,3.731509500008542,873f2d9,2748.023090427899,503.2620132380903,901.1439734736814,3459.7259298593635,0.0,0.0,0.0,3851.261635805,4827227.355775566,2338381.3410992813,674001.4173518054,1.0,4827227.355775566,2338381.3410992813,0.5155849996786436,0.0,0.0,0.0,1280945871.4607198,519500860.2747003,87856058.96879129,578232419.9784795,0.0,0.0,0.0,0.0,2557311828.9921293,0.0,0.0,0.0,0.0,0.0,5023847039.67482,488687.8945626562,113924.5009672226,2786090.830630666,1234098.206685317,1501627.3337137157,1644780.575882986,3146407.9095967016,594.2597077154337,0.0,0.0,3.839259909293959,4.0,0.0,0.0,0.0,3911644.933254067,2103.923703044676,0.0,0.0,0.0,0.0,0.0,0.0,4.827227355775566,2.3383813410992813,5.02384703967482,1.0,Legacy,storage_lifecycle,,,,,
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0046_k100_repday_opt_base_with_storage_degradation_liion_8h_LDES_calendar_mid_baseline_capfix1p00,R2B_storage_calendar_sensitivity,xinwu_k100,k100,repday_opt,base_with_storage_degradation,liion_8h_with_degradation_plus_LDES,liion_8h_LDES_calendar_mid,,node_interface,baseline,4827227.355775566,1.0,4827227.355775566,12.0,0.05,0.05,optimal,True,,12.645533200004138,873f2d9,2731.651330995769,395.4439486599769,0.0,0.0,1845.626902445876,19027.799324635125,0.0,3851.261635805,4827227.355775566,2199131.926832569,674001.4173518054,1.0,4827227.355775566,2199131.926832569,0.5444316654774083,0.0,0.0,0.0,1273314444.4446285,408203810.57072365,0.0,0.0,-1.650732883717865e-11,0.0,231003736.9962009,357235751.0323028,1979889041.420141,0.0,0.0,0.0,0.0,0.0,4249646784.463997,277.99998511271366,0.0,3254990.7401323654,1059224.43652675,-9.00399754755199e-14,-2.401066012680531e-13,-3.3014657674357294e-13,0.0,-1.650732883717865e-11,0.0,0.0,0.0,2793752.479605499,2875816.0398868285,151.13760613207302,3678708.475798877,3295.4857964982307,0.0,0.0,0.0,0.0,0.0,0.0,4.827227355775566,2.199131926832569,4.249646784463997,1.0,Li-ion 8 h + LDES,storage_lifecycle,,,,,
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0041_k100_repday_opt_base_with_storage_degradation_liion_8h_calendar_mid_baseline_capfix1p00,R2B_storage_calendar_sensitivity,xinwu_k100,k100,repday_opt,base_with_storage_degradation,liion_8h_with_degradation,liion_8h_calendar_mid,,node_interface,baseline,4827227.355775566,1.0,4827227.355775566,12.0,0.05,0.05,optimal,True,,4.105999799998244,873f2d9,2740.609792705708,493.5968483992646,807.6066872613811,2940.263631811818,0.0,0.0,0.0,3851.261635805,4827227.355775566,2411623.880647965,674001.4173518054,1.0,4827227.355775566,2411623.880647965,0.5004122029258549,0.0,0.0,0.0,1277490284.371868,509523827.801774,78736742.21680664,491413421.0817015,174701876.80160818,0.0,0.0,0.0,2680064899.514374,0.0,0.0,0.0,0.0,0.0,5211931051.788132,569958.578923783,97402.42919604038,2695985.8283379613,1224731.4544776902,1334134.7037439933,1454239.5606533345,2788374.264397328,618.2436945956857,139418713.21986637,35283163.58174182,3.640712339545308,4.210526315789474,0.0,0.0,0.0,4034165.073014328,2064.075829724921,0.0,0.0,0.0,0.0,0.0,0.0,4.827227355775566,2.411623880647965,5.211931051788132,1.0,Li-ion 8 h,storage_lifecycle,,,,,
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0031_k100_repday_opt_base_with_storage_degradation_liion_4h_calendar_mid_baseline_capfix1p00,R2B_storage_calendar_sensitivity,xinwu_k100,k100,repday_opt,base_with_storage_degradation,liion_4h_with_degradation,liion_4h_calendar_mid,,node_interface,baseline,4827227.355775566,1.0,4827227.355775566,12.0,0.05,0.05,optimal,True,,4.040097799996147,873f2d9,2740.974706371748,493.66250150522615,811.9421153082155,2938.0663629606547,0.0,0.0,0.0,3851.261635805,4827227.355775566,2411564.955516815,674001.4173518054,1.0,4827227.355775566,2411564.955516815,0.5004244097532544,0.0,0.0,0.0,1277660382.8894465,509591599.34846246,79159420.09442632,491046186.18769264,174739828.9203869,0.0,0.0,0.0,2679802671.0662584,0.0,0.0,0.0,0.0,0.0,5212000088.506674,556178.224422632,111687.24117212604,2710201.045091268,1210622.4989647116,1334781.7428265042,1454878.9084706767,2789660.651297181,618.9780661576907,139483032.56485906,35256796.355527855,3.618566283934362,4.0,0.0,0.0,0.0,4034066.503039168,2067.2372649295708,0.0,0.0,0.0,0.0,0.0,0.0,4.827227355775566,2.4115649555168157,5.212000088506674,1.0,Li-ion 4 h,storage_lifecycle,,,,,
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0047_k100_repday_opt_base_with_storage_degradation_liion_8h_LDES_calendar_mid_baseline_capfix0p40,R2B_storage_calendar_sensitivity,xinwu_k100,k100,repday_opt,base_with_storage_degradation,liion_8h_with_degradation_plus_LDES,liion_8h_LDES_calendar_mid,,node_interface,baseline,4827227.355775566,0.4,1930890.9423102264,12.0,0.05,0.05,optimal,True,,128.22687549999682,873f2d9,3129.1717850332075,476.15654980885927,0.0,0.0,1892.2674565723005,19959.22106891994,0.0,3851.261635805,4827227.355775566,2199131.926832569,674001.4173518054,0.4,1930890.9423102264,1930890.942310228,0.5999999999999996,0.1219758493110009,1.862645149230957e-09,9.646558013278489e-16,1458612081.2054455,491520779.920477,0.0,0.0,3.694822225952521e-12,0.0,236841396.97206023,374722646.95077145,1717130911.8191028,0.0,0.0,0.0,0.0,0.0,4278827816.867857,33531.77643934282,6012.778622521978,3695456.245821535,1269406.038327139,7.389644451905042e-14,0.0,7.389644451905042e-14,0.0,3.694822225952521e-12,0.0,0.0,0.0,3116370.3052072832,2996500.3487021984,150.13112677870396,3229994.885095732,3338.971748695825,0.0,0.0,0.0,0.0,0.0,0.0,1.9308909423102265,1.930890942310228,4.278827816867857,0.4,Li-ion 8 h + LDES,storage_lifecycle,,,,,
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0032_k100_repday_opt_base_with_storage_degradation_liion_4h_calendar_mid_baseline_capfix0p40,R2B_storage_calendar_sensitivity,xinwu_k100,k100,repday_opt,base_with_storage_degradation,liion_4h_with_degradation,liion_4h_calendar_mid,,node_interface,baseline,4827227.355775566,0.4,1930890.9423102264,12.0,0.05,0.05,optimal,True,,40.63931830000365,873f2d9,3467.4239660176904,522.2802722305886,1264.697682168321,5014.923457903852,0.0,0.0,0.0,3851.261635805,4827227.355775566,2411564.955516815,674001.4173518054,0.4,1930890.9423102264,1930890.942310226,0.6000000000000001,0.1993203675094779,0.0,0.0,1616282785.0120828,539132784.8937669,123300335.36591004,838156370.1459045,254925781.58647788,0.0,0.0,0.0,1999129126.3625104,0.0,0.0,0.0,0.0,0.0,5370927183.3666525,689810.1404191359,126582.87758260289,3442268.0341394586,1272381.574742758,1882295.6415356284,2012638.3602970045,3894934.001832633,501.66228288214273,194746700.09163165,60179081.49484623,3.96531402612028,4.0,0.0,0.0,0.0,3229994.885095728,2013.4517532876528,0.0,0.0,0.0,0.0,0.0,0.0,1.9308909423102265,1.9308909423102256,5.3709271833666525,0.4,Li-ion 4 h,storage_lifecycle,,,,,
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0017_k100_repday_opt_base_with_storage_degradation_legacy_no_degradation_baseline_capfix0p40,R2B_storage_calendar_sensitivity,xinwu_k100,k100,repday_opt,base_with_storage_degradation,legacy_no_degradation,legacy_no_degradation,,node_interface,baseline,4827227.355775566,0.4,1930890.9423102264,0.0,0.05,0.05,optimal,True,,40.639505500003,873f2d9,3413.0611411226423,520.0510002673772,1307.2462981071326,5204.4496724513365,0.0,0.0,0.0,3851.261635805,4827227.355775566,2338381.3410992813,674001.4173518054,0.4,1930890.9423102264,1930890.942310221,0.6000000000000011,0.1742617389332647,0.0,0.0,1590942446.2235138,536831580.6061175,127448566.74846156,869832347.9282278,0.0,0.0,0.0,0.0,1988215620.774343,0.0,0.0,0.0,0.0,0.0,5113270562.280664,636230.6300923189,122907.59400449433,3431064.165087905,1270085.5965349698,1914893.1928040704,2058735.758824797,3973628.951628868,494.4652865321869,0.0,0.0,3.9812311421246935,4.000000000000001,0.0,0.0,0.0,3229994.8850957192,2141.566109515652,0.0,0.0,0.0,0.0,0.0,0.0,1.9308909423102265,1.930890942310221,5.113270562280665,0.4,Legacy,storage_lifecycle,,,,,
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0042_k100_repday_opt_base_with_storage_degradation_liion_8h_calendar_mid_baseline_capfix0p40,R2B_storage_calendar_sensitivity,xinwu_k100,k100,repday_opt,base_with_storage_degradation,liion_8h_with_degradation,liion_8h_calendar_mid,,node_interface,baseline,4827227.355775566,0.4,1930890.9423102264,12.0,0.05,0.05,optimal,True,,42.65025180001976,873f2d9,3463.28047791433,521.4223772106038,1210.7402432383165,5031.54192076051,0.0,0.0,0.0,3851.261635805,4827227.355775566,2411623.880647965,674001.4173518054,0.4,1930890.9423102264,1930890.9423102213,0.600000000000001,0.1993399311540149,0.0,0.0,1614351366.0229433,538247208.0189302,118039813.10089834,840933854.3133626,255099293.8764153,0.0,0.0,0.0,2001226995.5491047,0.0,0.0,0.0,0.0,0.0,5367898530.881655,700266.9104248605,111945.83118069726,3426873.5302637964,1284720.688979507,1880508.8540727429,2013906.962473041,3894415.816545784,500.32052653767846,194720790.8272892,60378503.049126126,4.155756735485108,5.644629079965596,0.0,0.0,0.0,3229994.88509572,2006.8954518793275,0.0,0.0,0.0,0.0,0.0,0.0,1.9308909423102265,1.9308909423102207,5.367898530881655,0.4,Li-ion 8 h,storage_lifecycle,,,,,
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0043_k100_repday_opt_base_with_storage_degradation_liion_8h_calendar_mid_baseline_capfix0p25,R2B_storage_calendar_sensitivity,xinwu_k100,k100,repday_opt,base_with_storage_degradation,liion_8h_with_degradation,liion_8h_calendar_mid,,node_interface,baseline,4827227.355775566,0.25,1206806.8389438917,12.0,0.05,0.05,optimal,True,,37.98259359999793,873f2d9,4750.711046932506,514.2528905665914,2197.953991219473,11792.18364306404,0.0,0.0,0.0,3851.261635805,4827227.355775566,2411623.880647965,674001.4173518054,0.25,1206806.8389438917,1206806.8389438924,0.7499999999999998,0.4995874569712577,9.313225746154783e-10,7.717246410622793e-16,2214466000.401569,530846382.2436489,214287151.8286949,1970856369.2606528,399404645.0281485,0.0,0.0,0.0,1210424297.936453,0.0,0.0,0.0,0.0,0.0,6540284846.699167,884545.5484426362,171917.8334098961,4776806.978116002,1205544.7123907965,2542040.0535899554,2615928.772637645,5157968.8262276,277.2947797264302,257898441.31138003,141506203.71676847,5.365073013435316,8.0,0.0,0.0,0.0,2018746.8031848324,2052.7073617430765,0.0,0.0,0.0,0.0,0.0,0.0,1.2068068389438915,1.2068068389438924,6.540284846699167,0.25,Li-ion 8 h,storage_lifecycle,,,,,
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0018_k100_repday_opt_base_with_storage_degradation_legacy_no_degradation_baseline_capfix0p25,R2B_storage_calendar_sensitivity,xinwu_k100,k100,repday_opt,base_with_storage_degradation,legacy_no_degradation,legacy_no_degradation,,node_interface,baseline,4827227.355775566,0.25,1206806.8389438917,0.0,0.05,0.05,optimal,True,,38.90709150000475,873f2d9,4858.680040324887,500.33551440625246,3014.527593186818,12058.110372747273,0.0,0.0,0.0,3851.261635805,4827227.355775566,2338381.3410992813,674001.4173518054,0.25,1206806.8389438917,1206806.838943891,0.7500000000000001,0.4839135868332892,0.0,0.0,2264793975.0148406,516479931.5720736,293898113.7155711,2015301351.1924872,0.0,0.0,0.0,0.0,1065744897.6051912,0.0,0.0,0.0,0.0,0.0,6156218269.100163,893197.5180536618,172817.26589176673,4896820.070954233,1167366.608756364,3096779.020220523,3088832.750064416,6185611.770284939,320.20281936603595,0.0,0.0,4.0,4.0,0.0,0.0,0.0,2018746.8031848287,2850.3172203390504,0.0,0.0,0.0,0.0,0.0,0.0,1.2068068389438915,1.206806838943891,6.156218269100164,0.25,Legacy,storage_lifecycle,,,,,
