experiment_id,run_id,r2_family,technology_set,grid_carbon_scenario,spatial_resolution,network_mode,fixed_baseline_cap_ratio,co2_cap_mt,actual_emissions_mt,total_system_cost_billion_cny,dual_MAC_CNY_per_tCO2,dual_shadow_price_raw,co2_cap_slack,co2_cap_is_binding,is_valid_result,invalid_reason,finite_difference_MAC_CNY_per_tCO2,source_panel,from_run_id,to_run_id,emissions_reduction_ton,cost_change_cny,source_valid_runs_only,source_valid_run_count,source_validity_scope,source_total_runs,source_invalid_or_failed_runs_excluded,co2_cap_ratio,constraint_family,solver_status,binding_count,max_shadow_price,base_run_id,relaxation_run_id,relaxation_family,relaxed_node_id,relaxation_percent,base_cost_billion_cny,relaxed_cost_billion_cny,cost_reduction_billion_cny,cost_reduction_pct,base_actual_emissions_mt,relaxed_actual_emissions_mt,base_bess_energy_mwh,relaxed_bess_energy_mwh,base_pv_mw,relaxed_pv_mw,base_wind_mw,relaxed_wind_mw
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0022_k100_repday_opt_base_with_storage_degradation_liion_4h_throughput_only_baseline_capfix0p40,R2B_storage_calendar_sensitivity,base_with_storage_degradation,baseline,k100,node_interface,0.4,1.9308909423102265,1.930890942310223,5.310483622061987,764.0162743389943,-764.0162743389943,0.0,True,True,,313.7169662682774,dual_mac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0023_k100_repday_opt_base_with_storage_degradation_liion_4h_throughput_only_baseline_capfix0p25,R2B_storage_calendar_sensitivity,base_with_storage_degradation,baseline,k100,node_interface,0.25,1.2068068389438915,1.2068068389438953,6.45542086437052,2634.013009898169,-2634.013009898169,0.0,True,True,,1581.2213484395313,dual_mac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0024_k100_repday_opt_base_with_storage_degradation_liion_4h_throughput_only_baseline_capfix0p15,R2B_storage_calendar_sensitivity,base_with_storage_degradation,baseline,k100,node_interface,0.15,0.7240841033663348,0.7240841033663369,9.745520128368335,12002.582543330662,-12002.582543330662,0.0,True,True,,6815.712253663267,dual_mac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0025_k100_repday_opt_base_with_storage_degradation_liion_4h_throughput_only_baseline_capfix0p14,R2B_storage_calendar_sensitivity,base_with_storage_degradation,baseline,k100,node_interface,0.14,0.6758118298085793,0.6758118298085808,10.347465816971267,12491.654257848191,-12491.654257848191,0.0,True,True,,12469.801901555827,dual_mac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0027_k100_repday_opt_base_with_storage_degradation_liion_4h_calendar_low_baseline_capfix0p40,R2B_storage_calendar_sensitivity,base_with_storage_degradation,baseline,k100,node_interface,0.4,1.9308909423102265,1.9308909423102223,5.340788763023512,818.331838648334,-818.331838648334,0.0,True,True,,316.2706532187507,dual_mac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0028_k100_repday_opt_base_with_storage_degradation_liion_4h_calendar_low_baseline_capfix0p25,R2B_storage_calendar_sensitivity,base_with_storage_degradation,baseline,k100,node_interface,0.25,1.2068068389438915,1.2068068389438944,6.525614889641329,2703.684860476835,-2703.684860476835,0.0,True,True,,1636.3100931362262,dual_mac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0029_k100_repday_opt_base_with_storage_degradation_liion_4h_calendar_low_baseline_capfix0p15,R2B_storage_calendar_sensitivity,base_with_storage_degradation,baseline,k100,node_interface,0.15,0.7240841033663348,0.7240841033663369,9.91458482820492,12393.880851552429,-12393.880851552429,0.0,True,True,,7020.531018719953,dual_mac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0030_k100_repday_opt_base_with_storage_degradation_liion_4h_calendar_low_baseline_capfix0p14,R2B_storage_calendar_sensitivity,base_with_storage_degradation,baseline,k100,node_interface,0.14,0.6758118298085793,0.6758118298085807,10.53520547441632,12898.002501001563,-12898.002501001563,0.0,True,True,,12856.669066329485,dual_mac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0032_k100_repday_opt_base_with_storage_degradation_liion_4h_calendar_mid_baseline_capfix0p40,R2B_storage_calendar_sensitivity,base_with_storage_degradation,baseline,k100,node_interface,0.4,1.9308909423102265,1.9308909423102256,5.3709271833666525,850.3233316789649,-850.3233316789649,0.0,True,True,,330.6338401774037,dual_mac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0033_k100_repday_opt_base_with_storage_degradation_liion_4h_calendar_mid_baseline_capfix0p25,R2B_storage_calendar_sensitivity,base_with_storage_degradation,baseline,k100,node_interface,0.25,1.2068068389438915,1.2068068389438946,6.595777846292342,2773.3567110555005,-2773.3567110555005,0.0,True,True,,1691.5861807091887,dual_mac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
