experiment_id,run_id,r2_family,dataset_id,spatial_resolution,temporal_mode,technology_set,storage_model,storage_model_label,flex_case,network_mode,grid_carbon_scenario,fixed_baseline_reference_ton,fixed_baseline_cap_ratio,co2_cap_ton_config,bess_calendar_ageing_cost_yuan_per_kwh_year,dr_ramp_fraction_per_h,thermal_ramp_fraction_per_h,solver_status,is_valid_result,invalid_reason,runtime_seconds,git_commit,pv_mw,wind_mw,bess_power_mw,bess_energy_mwh,ldes_power_mw,ldes_energy_mwh,grid_expansion_mw,total_grid_interface_mw,E_ref_grid_only_ton,E_lc_unconstrained_ton,E_min_techset_ton,co2_cap_ratio,co2_cap_ton,actual_emissions_ton,reduction_vs_grid_only,reduction_vs_unconstrained_lc,cap_violation_ton,cap_violation_ratio,pv_cost,wind_cost,bess_power_cost,bess_energy_cost,bess_degradation_cost,bess_replacement_proxy_cost,ldes_power_cost,ldes_energy_cost,grid_purchase_cost,grid_expansion_cost,demand_response_cost,ev_flexibility_cost,thermal_flexibility_cost,load_shedding_penalty,total_system_cost,pv_curtailment_mwh,wind_curtailment_mwh,pv_generation_mwh,wind_generation_mwh,bess_charge_mwh,bess_discharge_mwh,bess_throughput_mwh,bess_equivalent_full_cycles,bess_cycling_degradation_cost_yuan,bess_calendar_ageing_cost_yuan,bess_average_duration_h,bess_max_duration_h,ldes_charge_mwh,ldes_discharge_mwh,ldes_equivalent_full_cycles,grid_import_mwh,peak_grid_import_mw,DR_shifted_mwh,DR_peak_reduction_mw,thermal_shifted_mwh,thermal_peak_reduction_mw,EV_charge_mwh,EV_discharge_mwh,co2_cap_mt,actual_emissions_mt,total_system_cost_billion_cny,fixed_cap_ratio_check
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0016_k100_repday_opt_base_with_storage_degradation_legacy_no_degradation_baseline_capfix1p00,R2B_storage_calendar_sensitivity,xinwu_k100,k100,repday_opt,base_with_storage_degradation,legacy_no_degradation,legacy_no_degradation,,node_interface,baseline,4827227.355775566,1.0,4827227.355775566,0.0,0.05,0.05,optimal,True,,3.731509500008542,873f2d9,2748.023090427899,503.2620132380903,901.1439734736814,3459.7259298593635,0.0,0.0,0.0,3851.261635805,4827227.355775566,2338381.3410992813,674001.4173518054,1.0,4827227.355775566,2338381.3410992813,0.5155849996786436,0.0,0.0,0.0,1280945871.4607198,519500860.2747003,87856058.96879129,578232419.9784795,0.0,0.0,0.0,0.0,2557311828.9921293,0.0,0.0,0.0,0.0,0.0,5023847039.67482,488687.8945626562,113924.5009672226,2786090.830630666,1234098.206685317,1501627.3337137157,1644780.575882986,3146407.9095967016,594.2597077154337,0.0,0.0,3.839259909293959,4.0,0.0,0.0,0.0,3911644.933254067,2103.923703044676,0.0,0.0,0.0,0.0,0.0,0.0,4.827227355775566,2.3383813410992813,5.02384703967482,1.0
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0017_k100_repday_opt_base_with_storage_degradation_legacy_no_degradation_baseline_capfix0p40,R2B_storage_calendar_sensitivity,xinwu_k100,k100,repday_opt,base_with_storage_degradation,legacy_no_degradation,legacy_no_degradation,,node_interface,baseline,4827227.355775566,0.4,1930890.9423102264,0.0,0.05,0.05,optimal,True,,40.639505500003,873f2d9,3413.0611411226423,520.0510002673772,1307.2462981071326,5204.4496724513365,0.0,0.0,0.0,3851.261635805,4827227.355775566,2338381.3410992813,674001.4173518054,0.4,1930890.9423102264,1930890.942310221,0.6000000000000011,0.1742617389332647,0.0,0.0,1590942446.2235138,536831580.6061175,127448566.74846156,869832347.9282278,0.0,0.0,0.0,0.0,1988215620.774343,0.0,0.0,0.0,0.0,0.0,5113270562.280664,636230.6300923189,122907.59400449433,3431064.165087905,1270085.5965349698,1914893.1928040704,2058735.758824797,3973628.951628868,494.4652865321869,0.0,0.0,3.9812311421246935,4.000000000000001,0.0,0.0,0.0,3229994.8850957192,2141.566109515652,0.0,0.0,0.0,0.0,0.0,0.0,1.9308909423102263,1.930890942310221,5.113270562280665,0.4
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0018_k100_repday_opt_base_with_storage_degradation_legacy_no_degradation_baseline_capfix0p25,R2B_storage_calendar_sensitivity,xinwu_k100,k100,repday_opt,base_with_storage_degradation,legacy_no_degradation,legacy_no_degradation,,node_interface,baseline,4827227.355775566,0.25,1206806.8389438915,0.0,0.05,0.05,optimal,True,,38.90709150000475,873f2d9,4858.680040324887,500.33551440625246,3014.527593186818,12058.110372747273,0.0,0.0,0.0,3851.261635805,4827227.355775566,2338381.3410992813,674001.4173518054,0.25,1206806.8389438917,1206806.838943891,0.7500000000000001,0.4839135868332892,0.0,0.0,2264793975.0148406,516479931.5720736,293898113.7155711,2015301351.1924872,0.0,0.0,0.0,0.0,1065744897.6051912,0.0,0.0,0.0,0.0,0.0,6156218269.100163,893197.5180536618,172817.26589176673,4896820.070954233,1167366.608756364,3096779.020220523,3088832.750064416,6185611.770284939,320.20281936603595,0.0,0.0,4.0,4.0,0.0,0.0,0.0,2018746.8031848292,2850.3172203390504,0.0,0.0,0.0,0.0,0.0,0.0,1.2068068389438917,1.206806838943891,6.1562182691001635,0.25
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0019_k100_repday_opt_base_with_storage_degradation_legacy_no_degradation_baseline_capfix0p15,R2B_storage_calendar_sensitivity,xinwu_k100,k100,repday_opt,base_with_storage_degradation,legacy_no_degradation,legacy_no_degradation,,node_interface,baseline,4827227.355775566,0.15,724084.1033663348,0.0,0.05,0.05,optimal,True,,32.32757940000738,873f2d9,5126.507041934352,856.4955082351825,7044.362493191023,28177.44997276409,0.0,0.0,0.0,3851.261635805,4827227.355775566,2338381.3410992813,674001.4173518054,0.15,724084.1033663348,724084.1033663367,0.8499999999999996,0.6903481520999726,1.862645149230957e-09,2.572415470207598e-15,2389637137.0582595,884132204.7867155,686782517.3525474,4709365833.2746105,0.0,0.0,0.0,0.0,751198955.8829261,0.0,0.0,0.0,0.0,0.0,9421116648.35506,857879.9315400831,675756.7844414886,5251303.158645034,1618426.6900366575,3280449.886933918,3274459.1690806467,6554909.056014565,145.26062384307713,0.0,0.0,4.0,4.0,0.0,0.0,0.0,1211248.0819109012,1716.857965685078,0.0,0.0,0.0,0.0,0.0,0.0,0.7240841033663348,0.7240841033663367,9.42111664835506,0.15
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0020_k100_repday_opt_base_with_storage_degradation_legacy_no_degradation_baseline_capfix0p14,R2B_storage_calendar_sensitivity,xinwu_k100,k100,repday_opt,base_with_storage_degradation,legacy_no_degradation,legacy_no_degradation,,node_interface,baseline,4827227.355775566,0.14,675811.8298085793,0.0,0.05,0.05,optimal,True,,25.30484520000755,873f2d9,5126.507041934352,856.4955082351825,7843.360734037503,31373.44293615001,0.0,0.0,0.0,3851.261635805,4827227.355775566,2338381.3410992813,674001.4173518054,0.14,675811.8298085793,675811.8298085808,0.8599999999999997,0.7109916086266412,1.5133991837501524e-09,2.2393795387967925e-15,2389637137.0582595,884132204.7867155,764679988.378379,5243519920.308885,0.0,0.0,0.0,0.0,728804729.2198893,0.0,0.0,0.0,0.0,0.0,10010773979.752129,714208.0630705182,616457.8590578232,5394975.027114598,1677725.6154203229,3463399.738403405,3335188.0988242966,6798587.837227701,132.8826145098236,0.0,0.0,4.0,4.0,0.0,0.0,0.0,1130498.2097835073,1475.5475790246185,0.0,0.0,0.0,0.0,0.0,0.0,0.6758118298085793,0.6758118298085808,10.010773979752129,0.14
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0021_k100_repday_opt_base_with_storage_degradation_liion_4h_throughput_only_baseline_capfix1p00,R2B_storage_calendar_sensitivity,xinwu_k100,k100,repday_opt,base_with_storage_degradation,liion_4h_with_degradation,liion_4h_throughput_only,,node_interface,baseline,4827227.355775566,1.0,4827227.355775566,0.0,0.05,0.05,optimal,True,,4.0653164999966975,873f2d9,2797.417614224501,500.66014237226,831.6242351012612,3138.380783676168,0.0,0.0,0.0,3851.261635805,4827227.355775566,2360968.102971345,674001.4173518054,1.0,4827227.355775566,2360968.102971345,0.5109059654821209,0.0,0.0,0.0,1303970318.2167962,516815034.3677824,81078307.11810915,524525223.1389308,146320941.1610057,0.0,0.0,0.0,2602851295.955481,0.0,0.0,0.0,0.0,0.0,5175561119.958105,562919.5178558893,114403.08620703082,2770721.935323091,1226650.3272860874,1399115.9738244647,1527302.849395649,2926418.8232201138,608.316419624609,146320941.1610057,0.0,3.773796687507584,4.0,0.0,0.0,0.0,3949428.0745589575,2059.0565468982654,0.0,0.0,0.0,0.0,0.0,0.0,4.827227355775566,2.3609681029713454,5.175561119958105,1.0
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0022_k100_repday_opt_base_with_storage_degradation_liion_4h_throughput_only_baseline_capfix0p40,R2B_storage_calendar_sensitivity,xinwu_k100,k100,repday_opt,base_with_storage_degradation,liion_4h_with_degradation,liion_4h_throughput_only,,node_interface,baseline,4827227.355775566,0.4,1930890.9423102264,0.0,0.05,0.05,optimal,True,,28.3796519000025,873f2d9,3453.763757222527,520.8928947262624,1275.8576529511472,5063.609867828479,0.0,0.0,0.0,3851.261635805,4827227.355775566,2360968.102971345,674001.4173518054,0.4,1930890.9423102264,1930890.942310223,0.6000000000000008,0.182161360045423,0.0,0.0,1609915302.8317454,537700640.6268357,124388364.670935,846293448.4005181,195738412.1901688,0.0,0.0,0.0,1996447453.3417835,0.0,0.0,0.0,0.0,0.0,5310483622.061987,674052.5464132807,126286.46702912624,3441746.958107962,1268961.7970469275,1890242.3356573328,2024525.908146042,3914768.243803376,499.7733733913867,195738412.1901688,0.0,3.9687890385859257,4.000000000000001,0.0,0.0,0.0,3229994.885095721,2063.7364586293093,0.0,0.0,0.0,0.0,0.0,0.0,1.9308909423102263,1.930890942310223,5.310483622061987,0.4
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0023_k100_repday_opt_base_with_storage_degradation_liion_4h_throughput_only_baseline_capfix0p25,R2B_storage_calendar_sensitivity,xinwu_k100,k100,repday_opt,base_with_storage_degradation,liion_4h_with_degradation,liion_4h_throughput_only,,node_interface,baseline,4827227.355775566,0.25,1206806.8389438915,0.0,0.05,0.05,optimal,True,,32.78399989998434,873f2d9,4769.173169256404,512.5400232866982,2924.7511084132675,11699.00443365307,0.0,0.0,0.0,3851.261635805,4827227.355775566,2360968.102971345,674001.4173518054,0.25,1206806.8389438917,1206806.8389438952,0.7499999999999992,0.4888508500283868,3.725290298461914e-09,3.086898564249117e-15,2223071815.779021,529078245.5632833,285145452.2403221,1955283101.0764945,257676968.0432897,0.0,0.0,0.0,1205165281.6681106,0.0,0.0,0.0,0.0,0.0,6455420864.370521,885157.6043134743,186354.94431123865,4798195.962054041,1186519.5659776249,2541007.239671488,2612532.1211943063,5153539.360865793,279.1404319925677,257676968.0432897,0.0,4.0,4.000000000000001,0.0,0.0,0.0,2018746.803184836,2141.828285016046,0.0,0.0,0.0,0.0,0.0,0.0,1.2068068389438917,1.2068068389438953,6.45542086437052,0.25
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0024_k100_repday_opt_base_with_storage_degradation_liion_4h_throughput_only_baseline_capfix0p15,R2B_storage_calendar_sensitivity,xinwu_k100,k100,repday_opt,base_with_storage_degradation,liion_4h_with_degradation,liion_4h_throughput_only,,node_interface,baseline,4827227.355775566,0.15,724084.1033663348,0.0,0.05,0.05,optimal,True,,32.36970979999751,873f2d9,5126.507041934352,856.4955082351825,7044.362493191019,28177.44997276408,0.0,0.0,0.0,3851.261635805,4827227.355775566,2360968.102971345,674001.4173518054,0.15,724084.1033663348,724084.1033663369,0.8499999999999996,0.6933105100170323,2.0954757928848267e-09,2.893967403983548e-15,2389637137.0582595,884132204.7867155,686782517.352547,4709365833.274609,324403480.01328146,0.0,0.0,0.0,751198955.8829263,0.0,0.0,0.0,0.0,0.0,9745520128.368338,912560.3078520847,687915.863878422,5196622.782333031,1606267.6105997243,3213610.431184983,3274459.1690806462,6488069.600265629,145.26062384307716,324403480.01328146,0.0,4.0,4.0,0.0,0.0,0.0,1211248.0819109017,1747.265926559557,0.0,0.0,0.0,0.0,0.0,0.0,0.7240841033663348,0.7240841033663369,9.745520128368337,0.15
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0025_k100_repday_opt_base_with_storage_degradation_liion_4h_throughput_only_baseline_capfix0p14,R2B_storage_calendar_sensitivity,xinwu_k100,k100,repday_opt,base_with_storage_degradation,liion_4h_with_degradation,liion_4h_throughput_only,,node_interface,baseline,4827227.355775566,0.14,675811.8298085793,0.0,0.05,0.05,optimal,True,,35.93509129999438,873f2d9,5126.507041934352,856.4955082351825,7822.528057834937,31290.112231339743,0.0,0.0,0.0,3851.261635805,4827227.355775566,2360968.102971345,674001.4173518054,0.14,675811.8298085793,675811.8298085808,0.8599999999999997,0.7137564760158968,1.5133991837501524e-09,2.2393795387967925e-15,2389637137.0582595,884132204.7867155,762648929.0994991,5229592656.682281,332517284.1527956,0.0,0.0,0.0,748937605.1917164,0.0,0.0,0.0,0.0,0.0,10347465816.971268,759520.0845882202,637787.4492483758,5349663.005596897,1656396.0252297702,3355957.855463383,3294387.827592529,6650345.683055912,131.60658402388674,332517284.1527956,0.0,4.0,4.0,0.0,0.0,0.0,1130498.2097835075,1411.0084193446844,0.0,0.0,0.0,0.0,0.0,0.0,0.6758118298085793,0.6758118298085808,10.347465816971267,0.14
